item_name,brand,price,seller_score,savings,has_units_sold,units_sold,watching
Mens Eberhard & Co Scafodat 500 Diver 44mm 410251 AutomaticDate SS Watch,Eberhard & Co,1750.0,405,0,FALSE,0,6
Raymond Weil Freelancer Black Dial Chrono Automatic Mens Watch 7730STC20021,Raymond Weil,1350.0,2,0,FALSE,0,5
Mens Stainless Steel Rolex Datejust Presidential 36 MM Blue Dial Watch 25 Ct,Rolex,3799.99,17519,60,FALSE,0,276
Vintage Wakmann Chronograph Wristwatch Watch Mens Panda Dial Works,Wakmann,1495.0,583,0,FALSE,0,14
Men Rolex Solid 18k Yellow Gold Day Date President Watch wRed Diamond Dial 1803,Rolex,9369.98,583,0,FALSE,0,14
New Tag Heuer Formula 1 Alarm 200 M Black Dial Mens Watch WAZ111ABA0875,Tag Heuer,1065.0,4703,23,TRUE,3,38
241660 Victorinox Swiss Army 42mm Automatic Chronograph Titanium Bracelet Watch,Victorinox,1899.99,4595,0,TRUE,2,33
Seiko Astron Solar GPS SS Brown Dial Mens Watch SSE033,Seiko,1068.99,8669,40,TRUE,1,3
Hublot Super B Black Magic Chronograph Automatic Mens Watch 1926NL3010,Hublot,4989.99,8669,40,TRUE,1,3
Longines Conquest Classic White Dial Automatic Mens Watch L27865763,Longines,2448.99,8669,44,FALSE,0,4
Rolex GMT Master II Black Index Dial Oyster Bracelet 18kt Yellow Gold Mens Watch,Rolex,25994.99,8669,44,FALSE,0,4
TAG HEUER MENS 41MM STEEL BRACELET & CASE SWISS QUARTZ WATCH WAY111ABA0928,TAG Heuer,1252.64,969,21,FALSE,0,1
Oris Mens Moon Pointer Black Dial Pro Diver Titanium Swiss Watch 76176827134SET,Oris,1962.0,969,21,FALSE,0,1
New Rolex Submariner Steel & Gold Black Dial 40 mm Automatic ref 116613LN,Rolex,10298.0,600,0,FALSE,0,7
Tag Heuer Aquaracer Black Dial Swiss Automatic Mens Watch WAN2110BA0822,Tag Heuer,1247.0,600,0,FALSE,0,7
Tag Heuer Monaco Mens Swiss Chronograph Automatic Watch CAW2111FC6183,Tag Heuer,3287.0,600,0,FALSE,0,7
Tudor Black Bay Heritage 79220B Automatic 41mm Steel Mens Bracelet Watch ,Tudor,2493.0,247,0,FALSE,0,26
VINTAGE Universal Geneve Aero Compax 224107 Steel Mens Chronograph Watch 375mm,No Brand,7499.0,2700,0,FALSE,0,27
Rado Ceramica Chronograph Mens Quartz Watch R21715162,Rado,1299.0,479,0,TRUE,2,47
NEW UBoat Classico AS 1 Stainless Steel Lefthook Automatic Mens watch 290000,U-Boat,1025.0,962,0,TRUE,1,77
 ROLEX DATEJUST 41MM STEEL & ROSE GOLD CHOCOLATE DIAMOND DIAL WATCH 126331,Rolex,11200.0,482,0,FALSE,0,8
New Tag Heuer Formula 1 Quartz Chronograph Mens Watch CAU1115BA0858,Tag Heuer,1665.0,4703,20,FALSE,0,2
TUDOR Prince Oyster Date 74033B6247 Mens Automatic GoldStainless Watch,TUDOR,1875.0,2503,0,FALSE,0,1
New Omega Seamaster Planet Ocean 600M 42mm Mens Watch 2329242210,Omega,4775.0,4703,39,FALSE,0,25
New Omega Seamaster Planet Ocean 600M 46mm Mens Watch 2329046210,Omega,4995.0,4703,41,FALSE,0,15
Anonimo Mens Militare Black Leather Strap Swiss Automatic Watch AM100002004A01,Anonimo,1540.0,4703,41,FALSE,0,15
BREITLING CHRONOSPACE UTC A56012 STAINLESS STEEL 415MM MENS WATCH!!!,Breitling,1650.0,546,0,FALSE,0,7
Tag Heuer Watch Mens WAR211ABA0782 Carrera Automatic,TAG Heuer,1579.99,546,0,FALSE,0,7
100% AUTHENTIC NEW TUDOR PELAGOS TITANIUM BLACK DIAL MENS WATCH 25600TN,TUDOR,3590.0,9974,0,FALSE,0,32
Oris Black Dial Stainless Steel Mens Watch 75276984063TSG,Oris,1087.99,8669,37,FALSE,0,14
Mens Eberhard & Co Scafodat 500 Diver 44mm 410251 AutomaticDate SS Watch,Eberhard & Co,1750.0,405,0,FALSE,0,6
Raymond Weil Freelancer Black Dial Chrono Automatic Mens Watch 7730STC20021,Raymond Weil,1350.0,2,0,FALSE,0,5
